analytic,cloth_n,sphere_n,frame_index,broad_detect_ms,narrow_phase_ms,physics_total_ms,broad_collisions,narrow_collisions
Off,100,20,7,0.002835,0.002209,71.8567,0,0
Off,100,20,8,0.002875,0.001622,73.015,0,0
Off,100,20,9,0.002129,0.001372,71.8427,0,0
Off,100,20,10,0.002787,0.00154,80.8626,0,0
Off,100,20,11,66.8529,39.0187,299.615,430418,64785
Off,100,20,12,80.5853,47.6585,345.2,808622,132918
Off,100,20,13,96.75,66.182,390.949,1148891,203393
Off,100,20,14,96.872,62.9011,367.872,1463223,279508
Off,100,20,15,94.0677,50.5919,308.552,1793500,367650
Off,100,20,16,94.6543,54.4365,317.382,2206890,464642
Off,100,20,17,101.164,74.8205,410.555,2378494,528423
Off,100,20,18,96.4457,68.078,377.732,2491883,559314
Off,100,20,19,72.151,62.9464,325.862,2504360,568047
Off,100,20,20,67.8061,58.8601,313.844,2480202,563942
Off,100,20,21,73.8514,66.5599,364.205,2449973,555438
Off,100,20,22,69.4914,58.8456,311.372,2419288,545641
Off,100,20,23,72.853,69.3573,362.134,2383205,538731
Off,100,20,24,71.1166,67.956,354.6,2363614,533351
Off,100,20,25,70.333,66.3895,332.184,2370329,535106
Off,100,20,26,70.799,66.4126,348.88,2410167,543118
Off,100,20,27,72.6247,68.3352,358.992,2451511,552091
Off,100,20,28,70.3388,58.5285,305.318,2488938,559863
Off,100,20,29,70.5355,66.0995,348.653,2516374,565863
Off,100,50,0,0.024627,0.016253,190.765,0,0
Off,100,50,1,0.00437,0.003994,149.783,0,0
Off,100,50,2,0.019666,0.01238,194.627,0,0
Off,100,50,3,0.037956,0.023911,200.847,0,0
Off,100,50,4,0.00575,0.003503,118.812,0,0
Off,100,50,5,0.003502,0.003209,138.149,0,0
Off,100,50,6,0.030501,0.020252,199.719,0,0
Off,100,50,7,0.005995,0.004496,169.931,0,0
Off,100,50,8,0.049831,0.371498,215.367,0,0
Off,100,50,9,0.064,0.045372,250.613,0,0
Off,100,50,10,0.046919,0.031001,193.658,0,0
Off,100,50,11,90.9663,44.4797,327.011,1247762,72690
Off,100,50,12,106.418,62.378,405.534,2220352,152848
Off,100,50,13,113.519,58.2728,408.595,3033219,231988
Off,100,50,14,116.23,59.3719,403.044,3827344,315076
Off,100,50,15,110.624,69.9821,396.51,4662297,408692
Off,100,50,16,123.082,72.5855,391.079,5451731,512180
Off,100,50,17,135.841,84.3,485.103,5871485,575731
Off,100,50,18,135.834,77.963,462.438,6079521,608033
Off,100,50,19,108.608,85.5468,444.296,6114952,616915
Off,100,50,20,105.04,78.2778,433.306,6026957,608576
Off,100,50,21,109.441,81.7893,407.857,5894981,594727
