analytic,cloth_n,sphere_n,frame_index,broad_detect_ms,narrow_phase_ms,physics_total_ms,broad_collisions,narrow_collisions
Off,100,100,9,0.009002,0.00784,148.651,0,0
Off,100,100,10,0.003339,0.002665,135.114,0,0
Off,100,100,11,138.495,44.4251,353.207,3766095,111480
Off,100,100,12,154.495,54.9274,383.083,6484229,220246
Off,100,100,13,171.538,56.492,388.265,8704244,321091
Off,100,100,14,185.354,84.8152,479.057,10801158,425578
Off,100,100,15,140.102,68.4043,343.537,12952237,540568
Off,100,100,16,126.329,62.7895,321.425,14964885,666265
Off,100,100,17,195.233,81.5799,445.595,15894561,738260
Off,100,100,18,191.691,80.3459,449.873,16317453,768245
Off,100,100,19,159.074,72.7591,394.053,16261447,774314
Off,100,100,20,153.929,69.1623,381.111,16019723,757203
Off,100,100,21,158.74,68.2704,403.312,15690189,735619
Off,100,100,22,156.854,67.3881,362.744,15269351,717205
Off,100,100,23,153.35,66.0416,366.68,14879654,698924
Off,100,100,24,151.72,63.119,360.327,14659542,688176
Off,100,100,25,151.873,65.877,349.38,14868925,696173
Off,100,100,26,86.2847,51.238,258.336,15379292,715539
Off,100,100,27,121.375,55.0402,293.621,16039435,735193
Off,100,100,28,161.513,73.9632,395.19,16670118,752118
Off,100,100,29,96.0665,62.4548,299.033,17111247,765136
On,20,20,0,0.004247,11.2611,76.9007,0,0
On,20,20,1,0.002627,11.9637,85.8757,0,0
On,20,20,2,0.007586,16.0645,92.5993,0,0
On,20,20,3,0.005124,19.4344,93.385,0,0
On,20,20,4,0.002961,12.5732,83.9274,0,0
On,20,20,5,0.004212,18.2495,90.9091,0,0
On,20,20,6,0.015254,15.6398,88.7113,0,0
On,20,20,7,0.017878,15.1936,103.131,0,0
On,20,20,8,0.017044,13.228,93.2295,0,0
On,20,20,9,0.003836,14.8061,88.2052,0,0
On,20,20,10,0.003256,12.842,84.121,0,574
On,20,20,11,29.9459,23.6306,127.004,21285,5167
On,20,20,12,38.4013,25.6407,137.046,41255,9367
On,20,20,13,32.1476,29.03,134.953,46165,10161
