frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,mesh_upload,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,render_total,scene_draw,debug_draw,imgui_draw
0,29.7315,242.414,4.12518,0,0,0.04275,238.804,2.43425,92.8015,142.191,0.033834,0.010334,0.663247,0.199666,2.99138,2.95337,0.012584,0.085708
1,29.9757,106.932,9.35171,0,0,0.025917,103.894,0,46.4692,56.7067,0.001917,0.001456,0.232709,0.185333,2.66283,2.64558,0.00675,0.061458
2,30.0837,103.737,9.63974,0,0,0.024542,100.63,0,47.1377,52.765,0.001917,0.001211,0.235164,0.188541,2.70788,2.68867,0.006333,0.062041
3,30.189,105.427,9.48525,0,0,0.044833,102.113,0,45.7286,55.5987,0.002541,0.001625,0.275248,0.200583,2.87487,2.84325,0.00825,0.07775
4,30.2994,102.3,9.77521,0,0,0.035583,99.177,0,46.3717,52.0753,0.001707,0.001372,0.242543,0.189291,2.6945,2.66637,0.007209,0.071791
5,30.4033,101.212,9.88027,0,0,0.029042,98.158,0,44.4417,53.0086,0.002081,0.001253,0.233797,0.185375,2.69071,2.67413,0.006209,0.056542
6,30.5057,103.554,9.65675,0,0,0.026458,100.543,0,46.6557,53.1663,0.001539,0.001418,0.237002,0.188,2.62917,2.61125,0.008417,0.064042
7,30.6098,134.532,7.43319,37788,408,0.02875,131.582,0,44.8635,51.3554,17.506,17.1853,0.191583,0.190208,2.59246,2.56971,0.014292,0.055459
8,30.7481,145.244,6.88497,54571,435,0.036083,142.053,0,45.8679,51.5878,21.1877,22.7557,0.166666,0.196209,2.77562,2.74233,0.0125,0.074666
9,30.9005,147.993,6.75706,59479,568,0.033,144.898,0,47.446,52.2425,21.9396,22.6134,0.169791,0.194458,2.68,2.65362,0.012292,0.067792
10,31.0499,149.919,6.67027,61401,747,0.0355,146.621,0.69,45.856,52.2459,21.8077,25.3498,0.174712,0.1965,2.86662,2.82896,0.017791,0.077542
11,31.2015,150.231,6.6564,60736,674,0.04075,147.066,0,47.5323,54.6412,21.4336,22.7928,0.175958,0.191125,2.73196,2.69621,0.014208,0.073083
12,31.3533,148.379,6.73952,60421,622,0.029125,145.265,0,45.59,52.2794,21.6126,25.123,0.172378,0.188833,2.68658,2.66213,0.01025,0.059708
13,31.5028,148.253,6.74523,65263,674,0.027542,145.212,0,48.6567,51.3127,21.825,22.7425,0.167713,0.196958,2.65108,2.63088,0.010542,0.054875
14,31.6522,146.204,6.83977,72438,790,0.043917,142.89,0,46.322,51.5808,21.7066,22.599,0.18371,0.195083,2.85162,2.81325,0.01625,0.082792
15,31.8035,147.03,6.80132,76875,749,0.03175,143.988,0,46.7175,51.237,22.0151,23.3502,0.167956,0.188792,2.64062,2.61979,0.010375,0.060959
16,31.9517,147.903,6.76119,81437,812,0.028667,144.816,0,45.7059,53.7573,22.002,22.6784,0.166792,0.198083,2.68383,2.66588,0.009792,0.059625
17,32.1008,148.888,6.71645,87894,892,0.04375,145.733,0,45.5674,52.4353,24.2567,22.7977,0.173418,0.192833,2.703,2.66667,0.014958,0.073833
18,32.2512,149.039,6.70964,90775,1152,0.042708,145.912,0,45.1511,54.6824,22.4709,22.9483,0.168082,0.190875,2.68042,2.64904,0.012792,0.071708
19,32.4017,152.423,6.56069,215666,2314,0.028959,149.33,0,47.9831,51.1293,26.4667,23.0765,0.176422,0.198541,2.65896,2.63912,0.010209,0.06375
20,32.5552,165.392,6.04623,427350,3938,0.028875,160.871,0.813792,45.8106,50.9486,37.4614,25.1679,0.165792,0.197917,4.13133,4.11038,0.011959,0.059875
21,32.7218,177.395,5.63715,863499,6743,0.051667,174.156,0,46.1287,51.4302,49.0166,26.894,0.17087,0.192125,2.77221,2.74325,0.013375,0.075584
22,32.9027,194.541,5.14031,1190581,10083,0.050625,191.238,0,44.695,63.9567,54.5562,27.2804,0.221003,0.195041,2.76192,2.72383,0.01575,0.073167
23,33.099,178.123,5.6141,1630362,15438,0.044625,174.962,0,46.0068,57.7454,42.7913,27.7527,0.166292,0.192167,2.72788,2.69425,0.015917,0.070167
24,33.282,179.539,5.56981,1798328,18744,0.04375,176.471,0,48.4348,53.7328,45.4421,28.1915,0.165374,0.19225,2.60621,2.57325,0.015291,0.083
25,33.4633,167.907,5.95567,1757475,18785,0.032959,164.746,0,45.8655,51.4652,39.1703,27.5799,0.168292,0.192209,2.76121,2.73712,0.013666,0.072375
26,33.6354,172.544,5.79561,1814721,18399,0.04725,169.438,0,46.548,52.206,42.3135,27.6912,0.170157,0.198833,2.65792,2.62412,0.015,0.08125
27,33.8087,181.004,5.52473,1662204,16320,0.033791,177.965,0,47.7572,51.2199,50.6516,27.6392,0.178171,0.197209,2.63733,2.614,0.012916,0.06025
28,33.9903,176.259,5.67348,1417031,14631,0.026542,173.175,0,48.1939,51.3214,45.3918,27.5964,0.165044,0.194709,2.70471,2.684,0.011333,0.066458
29,34.1671,174.398,5.73401,1119631,12141,0.045291,171.233,0,45.8401,53.5263,44.0697,27.0967,0.174794,0.19825,2.71942,2.68637,0.015542,0.077125
