frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,mesh_upload,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,render_total,scene_draw,debug_draw,imgui_draw
20,75.1024,140.655,7.10959,470334,4477,0.028458,137.609,0.020459,0.369879,38.1001,72.4202,26.0258,0.163248,0.192959,2.64275,2.62279,0.010791,0.0615
21,75.2437,148.786,6.72106,837437,6600,0.027291,145.762,0,0.375584,38.1318,79.987,26.5865,0.176747,0.189458,2.6615,2.64129,0.0105,0.057833
22,75.393,157.66,6.34276,1419772,11484,0.036625,154.513,0,0.383712,38.1757,87.4084,27.8612,0.171708,0.193959,2.72883,2.69462,0.015,0.075208
23,75.5514,147.392,6.78462,1649430,15240,0.036,144.244,0,0.381172,38.6731,76.7574,27.731,0.178419,0.195792,2.70475,2.67071,0.016,0.071833
24,75.7004,146.901,6.80732,1704294,17373,0.03075,143.871,0,0.380751,38.3355,76.8049,27.6666,0.16638,0.201167,2.64087,2.618,0.012542,0.066375
25,75.8486,152.77,6.5458,1637471,17168,0.0315,149.695,0,0.386919,38.0675,81.7589,28.7796,0.174581,0.199666,2.65225,2.62725,0.015791,0.071875
26,76.0027,144.835,6.90441,1693805,17854,0.028542,141.723,0,0.386292,38.3075,74.3362,28.0075,0.168124,0.190042,2.70925,2.685,0.014708,0.063042
27,76.1541,159.05,6.28735,1867867,18398,0.027916,156.161,0,0.372168,38.5159,88.6562,27.924,0.177543,0.199958,2.52629,2.50246,0.013875,0.060875
28,76.3213,143.952,6.94677,1314185,13553,0.029375,140.975,0,0.375495,38.3653,73.6743,27.8832,0.167586,0.197583,2.62071,2.6,0.010875,0.060583
29,76.4664,144.905,6.90109,873761,9100,0.039917,141.819,0,0.377585,38.094,75.7755,26.8892,0.17283,0.191667,2.63717,2.60729,0.015083,0.071083
